Index,User ID,Exposure ID,Audience Segment ID,Segment Type,Age,Gender,Income,Interests,Device,Browser,Operating System,Location (DMA)
4928,U0147,P11af2fe,AS345,1P Audience,19,Male,97118,"Art, Fitness",Desktop,Edge,Linux,"Laramie, Wyoming"
4927,U0025,Pdae780c,AS262,1P Audience,54,Male,85092,Technology,Smartphone,Edge,Android,"Casper, Wyoming"
4926,U0661,Pfb0e87a,AS166,Custom Audience,54,Male,25792,"Fashion, Technology, Food",Tablet,Opera,Linux,"Casper, Wyoming"
4925,U0123,O9e3a0d4,AS270,1P Audience,53,Female,66151,"Music, Fashion, Fitness",Desktop,Firefox,Linux,"Cheyenne, Wyoming"
4924,U0780,Oeb4621f,AS477,Custom Audience,22,Female,51104,"Sports, Gaming, Travel",Laptop,Edge,Linux,"Casper, Wyoming"
4923,U0443,Pce04a4a,AS298,Custom Audience,67,Female,69779,Auto,Smartphone,Safari,iOS,"Cheyenne, Wyoming"
4922,U0649,O350f1c0,AS146,3P Audience,50,Male,32025,"Sports, Art",Desktop,Edge,iOS,"Casper, Wyoming"
4921,U0197,P009bc1c,AS286,Custom Audience,60,Male,91387,"Music, Travel",Desktop,Safari,macOS,"Laramie, Wyoming"
4920,U0330,Pb3850b4,AS342,Custom Audience,20,Male,109958,"Fitness, Art",Tablet,Edge,Linux,"Casper, Wyoming"
4919,U0410,P491a14a,AS484,1P Audience,43,Female,48058,Art,Laptop,Opera,Android,"Laramie, Wyoming"
4918,U0506,O4fd9aad,AS192,1P Audience,37,Male,101231,"Auto, Gaming, Music",Laptop,Safari,Linux,"Laramie, Wyoming"
4917,U0910,P96d4cff,AS284,1P Audience,32,Male,87738,"Gaming, Travel",Tablet,Opera,macOS,"Laramie, Wyoming"
4916,U0406,P79c749e,AS051,3P Audience,62,Female,32642,"Gaming, Music, Auto",Tablet,Chrome,Linux,"Laramie, Wyoming"
4915,U0478,Oef95403,AS070,1P Audience,60,Female,58090,"Travel, Technology",Desktop,Opera,Android,"Laramie, Wyoming"
4914,U0595,Pcd741c7,AS217,1P Audience,27,Male,79463,"Travel, Art",Smartphone,Chrome,macOS,"Cheyenne, Wyoming"
4913,U0702,P646a3b7,AS104,3P Audience,58,Female,98479,Technology,Desktop,Chrome,Android,"Casper, Wyoming"
4912,U0858,O9c8683d,AS114,3P Audience,48,Female,69819,"Technology, Gaming, Sports",Tablet,Edge,Android,"Laramie, Wyoming"
4911,U0396,P18c64bb,AS059,3P Audience,65,Male,61049,"Auto, Music, Food",Laptop,Opera,Linux,"Casper, Wyoming"
4910,U0416,O6ab8cf0,AS219,3P Audience,65,Female,113296,Gaming,Laptop,Chrome,Windows,"Cheyenne, Wyoming"
4909,U0239,O581d60a,AS335,3P Audience,20,Female,95325,"Sports, Fashion, Music",Tablet,Firefox,iOS,"Cheyenne, Wyoming"
4908,U0232,Oa296fe3,AS249,1P Audience,52,Female,20937,"Fitness, Gaming",Smartphone,Safari,Windows,"Laramie, Wyoming"
4907,U0993,P106830c,AS288,Custom Audience,65,Male,89295,"Sports, Auto",Laptop,Safari,iOS,"Casper, Wyoming"
4906,U0886,O64b470f,AS274,1P Audience,23,Female,101595,Technology,Laptop,Edge,Android,"Cheyenne, Wyoming"
4905,U0336,P13ff225,AS488,1P Audience,43,Male,99868,Gaming,Tablet,Chrome,Android,"Casper, Wyoming"
4904,U0481,O27be9c1,AS426,Custom Audience,23,Male,60238,"Gaming, Fitness, Fashion",Laptop,Safari,iOS,"Laramie, Wyoming"
4903,U0106,Pd930c4d,AS203,3P Audience,36,Male,77801,Travel,Desktop,Firefox,macOS,"Casper, Wyoming"
4902,U0702,O22319ae,AS471,Custom Audience,58,Female,98479,Music,Smartphone,Safari,iOS,"Cheyenne, Wyoming"
4901,U0069,P4bffa29,AS359,Custom Audience,38,Female,69136,"Travel, Music",Smartphone,Safari,Windows,"Cheyenne, Wyoming"
4900,U0367,O3c4f669,AS391,1P Audience,22,Male,115546,"Art, Music, Auto",Desktop,Opera,macOS,"Casper, Wyoming"
4899,U0932,P2a26628,AS445,Custom Audience,61,Male,77775,"Sports, Gaming, Fitness",Laptop,Edge,Android,"Green Bay, Wisconsin"
4898,U0548,P15ddc7c,AS099,Custom Audience,41,Male,24047,Fashion,Laptop,Chrome,Android,"Milwaukee, Wisconsin"
4897,U0854,Pa685d94,AS200,3P Audience,24,Female,114086,Travel,Laptop,Edge,Linux,"Madison, Wisconsin"
4896,U0370,P1c0134b,AS210,Custom Audience,40,Female,109533,"Fitness, Sports",Smartphone,Edge,Windows,"Milwaukee, Wisconsin"
4895,U0726,Oeb193a3,AS234,Custom Audience,62,Female,53664,"Gaming, Food",Smartphone,Chrome,iOS,"Green Bay, Wisconsin"
4894,U0041,P7bd4d77,AS302,3P Audience,25,Male,115484,Fashion,Tablet,Edge,Android,"Madison, Wisconsin"
4893,U0592,Pe90810d,AS423,1P Audience,36,Male,118581,"Auto, Sports",Laptop,Firefox,Windows,"Milwaukee, Wisconsin"
4892,U0228,Pddf61d4,AS253,Custom Audience,63,Female,80591,Gaming,Smartphone,Safari,Windows,"Green Bay, Wisconsin"
4891,U0049,Ob2cb599,AS227,Custom Audience,27,Male,113772,"Sports, Auto",Tablet,Safari,iOS,"Green Bay, Wisconsin"
4890,U0901,Pdfc1e21,AS080,1P Audience,27,Female,117865,Food,Tablet,Firefox,macOS,"Green Bay, Wisconsin"
4889,U0122,P4d0359b,AS390,1P Audience,20,Female,103114,"Gaming, Fashion",Smartphone,Chrome,iOS,"Milwaukee, Wisconsin"
4888,U0981,O8fe49c3,AS173,1P Audience,65,Male,43834,"Sports, Travel, Technology",Tablet,Firefox,iOS,"Madison, Wisconsin"
4887,U0621,O1990231,AS338,Custom Audience,66,Male,63339,Sports,Laptop,Firefox,Linux,"Green Bay, Wisconsin"
4886,U0421,Of6d0070,AS225,1P Audience,55,Male,114002,"Technology, Fashion, Food",Desktop,Opera,Linux,"Madison, Wisconsin"
4885,U0087,Pf8f6ebf,AS376,Custom Audience,30,Female,88484,Technology,Tablet,Safari,Linux,"Milwaukee, Wisconsin"
4884,U0377,O99c3a28,AS137,1P Audience,18,Female,93606,"Travel, Technology, Sports",Smartphone,Edge,Windows,"Madison, Wisconsin"
4883,U0086,Oe6eeb69,AS365,1P Audience,50,Female,68519,"Auto, Sports, Gaming",Smartphone,Chrome,macOS,"Green Bay, Wisconsin"
4882,U0387,Oefd92b8,AS205,1P Audience,30,Male,34551,Music,Smartphone,Opera,macOS,"Madison, Wisconsin"
4881,U0954,O0681dc1,AS276,3P Audience,53,Female,103852,Fitness,Tablet,Chrome,macOS,"Madison, Wisconsin"
4880,U0049,Ob250f20,AS286,1P Audience,27,Male,113772,"Food, Gaming",Desktop,Chrome,Linux,"Milwaukee, Wisconsin"
4879,U0485,Pc0a72ca,AS376,Custom Audience,68,Female,54117,"Technology, Music",Laptop,Edge,macOS,"Milwaukee, Wisconsin"
4878,U0511,P7942248,AS394,3P Audience,50,Female,54690,Gaming,Tablet,Safari,iOS,"Milwaukee, Wisconsin"
4877,U0097,Oc5ac92a,AS403,3P Audience,29,Female,84336,"Sports, Travel, Auto",Laptop,Safari,Linux,"Madison, Wisconsin"
4876,U0034,O9860a8e,AS408,3P Audience,52,Female,30567,"Fashion, Art",Laptop,Firefox,Android,"Green Bay, Wisconsin"
4875,U0390,Pe665d2a,AS160,Custom Audience,23,Female,55620,"Food, Auto",Smartphone,Firefox,macOS,"Madison, Wisconsin"
4874,U0411,Pc1c4e4a,AS266,3P Audience,38,Female,51866,Fashion,Tablet,Firefox,Linux,"Madison, Wisconsin"
4873,U0322,P545675a,AS053,3P Audience,31,Male,61056,"Auto, Fitness",Laptop,Safari,Windows,"Milwaukee, Wisconsin"
4872,U0856,O722a386,AS011,1P Audience,60,Male,110694,"Fitness, Travel, Music",Desktop,Chrome,iOS,"Madison, Wisconsin"
4871,U0581,Pa982d02,AS484,Custom Audience,68,Female,91265,Art,Smartphone,Opera,Windows,"Milwaukee, Wisconsin"
4870,U0846,P10ded4c,AS461,3P Audience,53,Male,56566,Food,Tablet,Chrome,iOS,"Milwaukee, Wisconsin"
4869,U0257,Pe6f4797,AS483,1P Audience,43,Female,62534,"Fashion, Art",Tablet,Edge,Windows,"Madison, Wisconsin"
4868,U0016,O10a5363,AS411,1P Audience,43,Male,80007,"Sports, Travel",Laptop,Chrome,iOS,"Green Bay, Wisconsin"
4867,U0154,O3e5fdee,AS375,3P Audience,65,Male,79971,"Music, Fitness",Smartphone,Firefox,Windows,"Green Bay, Wisconsin"
4866,U0242,O7b7af0e,AS164,3P Audience,35,Male,53455,Music,Tablet,Chrome,Windows,"Madison, Wisconsin"
4865,U0114,O6bd75ff,AS321,1P Audience,21,Female,118153,"Fashion, Auto, Technology",Tablet,Edge,Android,"Green Bay, Wisconsin"
4864,U0506,Pc5d87b6,AS049,3P Audience,37,Male,101231,"Fashion, Auto",Desktop,Firefox,macOS,"Madison, Wisconsin"
4863,U0034,Of1f8ecd,AS313,Custom Audience,52,Female,30567,"Gaming, Music",Laptop,Firefox,macOS,"Milwaukee, Wisconsin"
4862,U0316,O41c2fea,AS251,3P Audience,61,Male,94746,"Technology, Food, Gaming",Tablet,Edge,Linux,"Milwaukee, Wisconsin"
4861,U0472,P99d44f9,AS164,3P Audience,59,Male,92520,"Food, Music, Sports",Smartphone,Safari,iOS,"Milwaukee, Wisconsin"
4860,U0884,P6eee337,AS187,1P Audience,51,Female,85532,"Gaming, Technology, Fitness",Smartphone,Safari,Android,"Milwaukee, Wisconsin"
4859,U0714,P6145be9,AS069,3P Audience,25,Male,30038,Gaming,Desktop,Safari,macOS,"Milwaukee, Wisconsin"
4858,U0689,Pbe6c3c6,AS402,Custom Audience,61,Male,48256,"Sports, Auto, Gaming",Smartphone,Chrome,iOS,"Green Bay, Wisconsin"
4857,U0321,P62def88,AS489,3P Audience,43,Female,75019,"Food, Technology",Tablet,Firefox,iOS,"Madison, Wisconsin"
4856,U0327,Ofd7e7c2,AS067,3P Audience,51,Female,117032,"Sports, Fitness, Music",Tablet,Firefox,macOS,"Green Bay, Wisconsin"
4855,U0428,O68da7a1,AS483,3P Audience,29,Male,85054,Music,Laptop,Edge,Windows,"Madison, Wisconsin"
4854,U0247,O4c1c0b8,AS209,3P Audience,61,Male,32596,Art,Desktop,Safari,macOS,"Madison, Wisconsin"
4853,U0888,Paa757b2,AS389,1P Audience,63,Male,21182,Fitness,Smartphone,Opera,macOS,"Green Bay, Wisconsin"
4852,U0253,Ob02182d,AS238,3P Audience,62,Male,26243,Auto,Laptop,Safari,iOS,"Green Bay, Wisconsin"
4851,U0276,Pd1c9bdd,AS167,1P Audience,22,Male,31991,"Fitness, Gaming",Tablet,Chrome,Linux,"Madison, Wisconsin"
4850,U0698,P5f8be6b,AS195,1P Audience,20,Male,80791,Fitness,Tablet,Safari,Linux,"Madison, Wisconsin"
4849,U0231,O828d158,AS468,3P Audience,52,Female,67005,Sports,Tablet,Firefox,Linux,"Madison, Wisconsin"
4848,U0400,Pb8a2a1c,AS022,1P Audience,29,Female,30696,"Gaming, Sports, Food",Desktop,Safari,Linux,"Green Bay, Wisconsin"
4847,U0964,Paffa18e,AS070,3P Audience,46,Female,96384,"Travel, Food, Technology",Laptop,Edge,macOS,"Madison, Wisconsin"
4846,U0687,O72730df,AS322,1P Audience,43,Male,91770,Food,Smartphone,Firefox,Windows,"Madison, Wisconsin"
4845,U0572,P4e17f56,AS287,3P Audience,58,Female,61551,"Fashion, Technology, Music",Desktop,Safari,iOS,"Milwaukee, Wisconsin"
4844,U0037,P7057793,AS231,Custom Audience,60,Male,52497,Technology,Desktop,Safari,macOS,"Milwaukee, Wisconsin"
4843,U0958,Pcc0ce4f,AS251,3P Audience,34,Female,97734,"Gaming, Food",Desktop,Edge,Windows,"Milwaukee, Wisconsin"
4842,U0744,O565a807,AS077,Custom Audience,66,Female,49061,Auto,Smartphone,Safari,macOS,"Madison, Wisconsin"
4841,U0327,Od7c12a5,AS343,1P Audience,51,Female,117032,"Gaming, Sports, Technology",Desktop,Edge,Windows,"Madison, Wisconsin"
4840,U0075,O3683439,AS126,Custom Audience,30,Male,75211,Auto,Tablet,Chrome,Linux,"Green Bay, Wisconsin"
4839,U0558,Pb6241af,AS074,1P Audience,27,Female,107654,"Technology, Travel",Smartphone,Chrome,Windows,"Madison, Wisconsin"
4838,U0642,O52dc3ad,AS289,1P Audience,29,Female,68082,"Sports, Music",Desktop,Edge,iOS,"Madison, Wisconsin"
4837,U0996,Pb483d3c,AS437,1P Audience,25,Female,98295,"Sports, Food",Smartphone,Safari,Android,"Madison, Wisconsin"
4836,U0240,Oc35e63c,AS381,1P Audience,49,Male,46914,Auto,Smartphone,Firefox,macOS,"Milwaukee, Wisconsin"
4835,U0204,Of4696f5,AS273,3P Audience,69,Male,57923,Gaming,Smartphone,Edge,Android,"Milwaukee, Wisconsin"
4834,U0794,P32aa2f6,AS177,Custom Audience,34,Female,107319,"Gaming, Auto, Sports",Smartphone,Firefox,Linux,"Madison, Wisconsin"
4833,U0418,O5776fef,AS013,3P Audience,44,Male,119718,"Travel, Food, Art",Smartphone,Edge,macOS,"Milwaukee, Wisconsin"
4832,U0280,Oce50dc5,AS071,1P Audience,34,Female,33181,Gaming,Tablet,Chrome,iOS,"Milwaukee, Wisconsin"
4831,U0086,P6349519,AS039,3P Audience,50,Female,68519,Art,Laptop,Safari,macOS,"Madison, Wisconsin"
4830,U0546,Oa6a7967,AS499,Custom Audience,42,Female,40086,"Fitness, Gaming",Desktop,Edge,iOS,"Green Bay, Wisconsin"
4829,U0681,Pc04bf85,AS211,3P Audience,20,Female,115286,Gaming,Tablet,Safari,iOS,"Madison, Wisconsin"
4828,U0077,Od61bb43,AS110,1P Audience,45,Male,79296,Fitness,Smartphone,Safari,iOS,"Milwaukee, Wisconsin"
4827,U0551,Oef06888,AS281,1P Audience,53,Male,22022,"Technology, Fitness",Laptop,Safari,Linux,"Milwaukee, Wisconsin"
4826,U0091,O4b7dae6,AS464,3P Audience,37,Male,108944,Fitness,Tablet,Firefox,Windows,"Green Bay, Wisconsin"
4825,U0820,P397d5e5,AS346,Custom Audience,34,Female,90562,Fitness,Desktop,Firefox,Windows,"Green Bay, Wisconsin"
4824,U0148,Of6936cb,AS175,3P Audience,65,Female,51156,Food,Tablet,Safari,Windows,"Madison, Wisconsin"
4823,U0226,P5f8ff23,AS333,1P Audience,23,Female,51237,"Food, Fashion, Auto",Tablet,Edge,Android,"Milwaukee, Wisconsin"
4822,U0508,P944a488,AS377,Custom Audience,43,Male,59313,"Fitness, Art",Laptop,Opera,macOS,"Green Bay, Wisconsin"
4821,U0011,P23de87f,AS113,1P Audience,60,Female,118192,"Auto, Food, Gaming",Desktop,Chrome,macOS,"Milwaukee, Wisconsin"
4820,U0498,P022b6c2,AS455,Custom Audience,58,Female,118431,Music,Tablet,Opera,iOS,"Madison, Wisconsin"
4819,U0320,Of37c1b7,AS211,Custom Audience,43,Male,117392,"Auto, Sports, Fitness",Desktop,Safari,iOS,"Madison, Wisconsin"
4818,U0110,O52c096f,AS137,Custom Audience,52,Female,63942,"Gaming, Art, Food",Smartphone,Edge,Linux,"Milwaukee, Wisconsin"
4817,U0680,O8653b2f,AS443,3P Audience,55,Male,92919,Gaming,Smartphone,Chrome,iOS,"Green Bay, Wisconsin"
4816,U0487,O94bc48c,AS111,Custom Audience,35,Female,42498,Auto,Desktop,Firefox,Android,"Milwaukee, Wisconsin"
4815,U0824,P2b430ce,AS470,1P Audience,49,Male,99899,"Art, Sports",Tablet,Opera,Windows,"Madison, Wisconsin"
4814,U0804,P264dbc6,AS436,Custom Audience,60,Male,45264,"Auto, Gaming, Sports",Laptop,Safari,iOS,"Green Bay, Wisconsin"
4813,U0668,O8aa19ef,AS418,3P Audience,52,Male,67481,"Sports, Music",Desktop,Safari,Linux,"Madison, Wisconsin"
4812,U0989,P24155ce,AS451,1P Audience,50,Male,45773,Sports,Laptop,Firefox,Android,"Green Bay, Wisconsin"
4811,U0451,Ob3534b6,AS128,3P Audience,67,Male,86204,"Fashion, Food",Tablet,Safari,Linux,"Milwaukee, Wisconsin"
4810,U0450,O929ad92,AS447,Custom Audience,38,Male,90989,"Travel, Technology",Tablet,Chrome,Android,"Milwaukee, Wisconsin"
4809,U0424,Oe3ebdd2,AS349,Custom Audience,65,Male,94234,"Art, Music, Fashion",Tablet,Safari,Linux,"Green Bay, Wisconsin"
4808,U0827,Pb1f9a42,AS341,3P Audience,20,Male,79908,"Travel, Fashion, Music",Smartphone,Opera,Linux,"Madison, Wisconsin"
4807,U0675,Oc7dd992,AS498,1P Audience,36,Male,104015,Sports,Tablet,Opera,iOS,"Madison, Wisconsin"
4806,U0824,P32a4d9c,AS450,3P Audience,49,Male,99899,"Fashion, Music",Laptop,Firefox,macOS,"Madison, Wisconsin"
4805,U0034,P8289e34,AS431,1P Audience,52,Female,30567,"Sports, Fashion, Technology",Tablet,Opera,iOS,"Milwaukee, Wisconsin"
4804,U0780,Pd4beceb,AS011,3P Audience,22,Female,51104,"Auto, Fitness, Travel",Laptop,Safari,Windows,"Milwaukee, Wisconsin"
4803,U0495,O729a344,AS306,3P Audience,57,Female,92209,Fashion,Laptop,Safari,Android,"Milwaukee, Wisconsin"
4802,U0595,Pee507ef,AS121,3P Audience,27,Male,79463,"Gaming, Technology",Laptop,Firefox,Windows,"Milwaukee, Wisconsin"
4801,U0407,O1347ac1,AS032,Custom Audience,20,Male,70136,Fitness,Laptop,Safari,iOS,"Milwaukee, Wisconsin"
4800,U0523,Oc06ae9e,AS471,3P Audience,53,Female,100347,"Travel, Music",Smartphone,Opera,Linux,"Green Bay, Wisconsin"
4799,U0784,O5383656,AS189,1P Audience,44,Female,35374,"Music, Fashion",Desktop,Chrome,Linux,"Huntington, West Virginia"
4798,U0824,P69cf14a,AS443,1P Audience,49,Male,99899,Food,Desktop,Safari,iOS,"Huntington, West Virginia"
4797,U0636,O9c60f93,AS273,Custom Audience,64,Male,42851,"Auto, Fitness",Smartphone,Chrome,Android,"Huntington, West Virginia"
