Index,Session ID,Traffic Channel,Exposure ID,Session Duration (secs)
85,6fd71d44-9287-4ab1-bf75-2a61a40b4c76,Display,O8b6df46,348
86,ce798213-5188-4533-bf44-55a898fec6c0,Direct,O7a369b4,55
87,cef678ab-926d-4d69-bc6a-d71490a3ea50,Display,Pf1d681c,53
88,998d453d-4a64-4b40-9d7f-d15b026e24cf,Organic Search,Odddb038,145
89,3d4dedd7-eeda-4002-8bca-fbc66024fdd6,Referral,O3fd97c4,39
90,4812c27d-0966-4688-8033-2c3d44c7e22c,Direct,Oa360e40,256
91,63cae27b-01a6-49c7-bb60-f558cb0ab9e9,Paid Search,P5e0f86e,214
92,7259aebf-3020-420d-a175-0056226169ed,Referral,P6e9529e,204
93,23309b14-54fa-454e-bbc1-beebb7d58616,Display,O44afb41,220
94,686a3e61-d605-4f64-b756-d0f6a913d03f,Direct,P9eac10b,149
95,514c9286-dfce-4ae1-939e-84a072fba715,Paid Search,O98db087,519
96,7a57d79a-64d3-4af2-99b1-97040a4f1e70,Paid Search,O4d87a3b,184
97,24be786b-1224-45d2-95dd-ef5aaaf158a7,Referral,O6045e0c,190
98,404563fd-7be7-4fcd-9238-21cd638967a2,Paid Search,O6c2dea5,584
99,e53da8d8-796c-4aad-81d8-04ec9041f383,Paid Search,P122a12a,124
100,6f72d292-9daf-4d1c-82be-8ad3175a025b,Referral,O45a984c,80
101,8ae93360-bb73-4ecc-a1d4-df7a6a44807d,Direct,P154addd,121
102,77dc032b-35f1-4274-abed-0b2d12799c33,Paid Search,P61f214d,272
103,d1adbcf2-80a8-4fb5-8e1f-0c999b76e631,Paid Search,P860ccf4,360
104,f81d1c9b-d8ac-4a20-9ec0-86d930202231,Direct,P003f785,36
105,50f2eaa9-78a3-45b4-8077-d1bf136c383f,Referral,O7cf4c8c,18
106,7360a3f9-5a22-4897-ad69-d08f1232a7fd,Display,Of2ed90e,227
107,f643d4e4-5d26-4767-ab82-0e626f9e369c,Referral,P91adf43,162
108,f1acff21-7316-4c7c-b6d6-a2ada1802460,Paid Search,Oe0ae45d,506
109,fc414826-13d0-44ee-b7c5-53f0d1f899da,Organic Search,Ob1e33e3,70
110,b285e199-d51e-4bdf-b119-b335df96dc91,Direct,Ofb92d9d,15
111,d4119c05-d68a-4946-a40f-c48b7abc55c4,Organic Search,Ode66b3b,130
112,dd7e19aa-737a-4c4e-ad9c-45921d7f81cd,Direct,O53e786c,175
113,eb39b552-6419-493a-b624-b7cbbb2f2f34,Paid Search,O576396f,14
114,221c9466-46be-4e32-beac-dda64a4e19e7,Display,O7c4d886,218
115,baf1f85f-8c9c-4431-acce-269266b7a40c,Paid Search,O33c5388,448
116,ce2de775-9885-4aa0-92b2-0de7a6827c19,Direct,O6c6a1f2,48
117,e3a0877c-aabc-4926-8b91-1fa212279362,Direct,O93442bc,155
118,56229a81-7572-4014-a915-f88d8675f5e0,Display,Oc50d974,343
119,f691dfd4-b6a0-4781-ba25-6eb24f60e849,Paid Search,P082af92,113
120,11081838-290d-4d80-a97c-be348126523e,Direct,O170cb40,73
121,36353903-e2a5-489e-a568-37e975747233,Display,Pd5aec3d,451
122,587011f0-7d35-4acb-9ea2-e2839de52d00,Organic Search,P4e25b3c,53
123,73d130f7-7252-4be2-a195-4a94fddcbc88,Paid Search,O382bbaa,51
124,749951ff-0fc5-48e3-8d4f-cb3ca0e703a7,Display,O5df0e48,198
125,3e0bcc48-ae72-46d9-905b-a68e0e050218,Paid Search,Ob2b05bc,146
126,09ec8364-5956-4ccc-b1ba-54892a51bda3,Direct,Pc1b4120,92
127,a77be3d2-5f53-479d-8917-288a066c624d,Direct,O6606d98,10
128,87a0ecd1-7e6b-430f-84e9-5fd4768527f5,Referral,Pef26642,104
129,0a250c75-0357-4a7a-8a59-780e3aaf113d,Referral,P37c7cf9,104
130,e22f4dde-6936-4d02-a598-86331a60976e,Direct,O248f408,86
131,bb0d962e-e6a4-494a-8481-efc071f4949c,Display,O897184a,209
132,73ec9d22-48ee-4c1a-9309-628ece2a2995,Organic Search,P45741f5,557
133,0309afcd-521d-4055-b26f-d23ad9394cba,Organic Search,O2e75bd7,133
134,5f0fe617-123b-44b2-981a-c40ba9fd37e1,Display,O11bad0d,68
135,076b9fb6-e6e4-4767-baac-fa59e243df5a,Direct,Ofe74d42,270
136,9d50d8d9-e3a2-4aeb-b716-4cb8b234c710,Organic Search,Of51925f,281
137,158d853d-6ed7-4b24-aac4-c5623b2b3cf1,Organic Search,P6b944d8,66
138,7899bc41-5856-4a1e-98be-433ceb80fe37,Paid Search,P6947a74,90
139,53c38015-92e1-4e36-9e0b-80cde0d23d9d,Paid Search,O4c5f99e,86
140,786c9ed4-2f80-4b65-8b6c-d96aae44c5d5,Paid Search,P50f36ce,152
141,91b000d6-36fe-4336-aa59-2774a831991e,Direct,Ofdb77fe,317
142,6f3a9fcb-7342-4451-ba32-6d65af2a89d1,Direct,P60e226b,88
143,d2452bfb-8acf-4933-a8b9-bdf3e067a768,Paid Search,Pc305383,28
144,5c7ab62f-0f57-45a3-9f5f-8ded0006172a,Organic Search,Pf74ac15,373
145,93b0c662-92b4-45a9-875f-fac5c55ce282,Direct,P606f2c5,16
146,46c78f25-2236-4ce0-af6a-e110de739029,Organic Search,O474d60d,58
147,3679c922-a7d4-4d81-957a-bff975241772,Display,O063512f,37
148,5179e37d-1588-4426-abae-f4429ce6a16b,Paid Search,Oaee9fc5,58
149,f5738b61-2de8-4cb6-b768-48aa2b56e8de,Direct,Oa211c58,50
150,ddb389d9-5016-4ed5-b101-15c34c4bbf6d,Display,Occ95745,167
151,818b059a-ea85-4225-922d-9e5cce8ae467,Referral,Oba9c1ed,103
152,7a7d9377-c96f-4fcc-b5f5-2b1fbffb009f,Organic Search,Pc2ba8fc,91
153,1e0aa33c-e9ee-451d-9c9d-ed6bfc21392d,Organic Search,Pe792bca,427
154,a2424f2d-2b07-45f1-bfbb-a0139fb7c32a,Organic Search,Ob3d0f6e,183
155,137f33e5-6b42-449d-b8c6-a3325c7c596c,Referral,Pa587531,241
156,702a890f-4cdc-4b75-8d99-6d76dc4830f4,Display,Pd03282d,511
157,7838aa3a-cdda-4b32-bd50-19f807a5a1e1,Display,P20bbb1d,156
158,258831c6-1a2e-4826-9ceb-c25470f5aaf4,Organic Search,P2abcccc,117
159,e274a09f-3e3d-4da8-882b-58ec446e2365,Direct,O5ed6685,31
160,96f18fa2-b2d3-4b10-ac35-fcf1eea2426d,Paid Search,O38da703,264
161,9c6ab1f5-32ae-4adf-8f7d-48c4cbd2f6e0,Paid Search,P8cabdbd,534
162,46b2cd6f-5b12-41d6-a2bf-e2b81e8b009a,Paid Search,Odbd34bf,249
163,04d3fdb7-78bc-49cd-8fa0-e547a03cd8c5,Organic Search,P460424e,581
164,596f04b7-28a2-4b51-ae7c-76fbb7b16099,Organic Search,P0fafcf2,139
165,42674c81-f298-4c35-96b7-98d713fcb5df,Paid Search,O3c4dfb6,433
166,32a180d5-5e90-4764-b08c-bb41a8915ab0,Referral,O2afecb5,594
167,1968c752-83b7-4900-8940-077c178ee337,Paid Search,Oa957b35,72
168,75f429dc-1b10-47f8-9abf-1086b0794f6b,Organic Search,O8b2a0aa,192
169,512a680c-c1e8-457a-b7a3-77bb472302e1,Display,Ode660e4,72
170,59d8de09-8601-420a-8d40-61848ba81292,Referral,Of22fd5e,7
171,62dbf27e-e62c-4b92-b72b-667b439eb1d8,Organic Search,O1d696ad,249
172,1daac739-1710-4b48-a1c6-656982490970,Display,Pfaf2e23,12
173,445a6d47-4b89-44d8-9728-43b721c32f5f,Referral,Pb598e8d,287
174,9034c9ef-5cb0-47cc-8bf9-26d5cd05eb2f,Paid Search,Pa7cb9a0,104
175,39c803a8-cf93-4597-9c58-c2272cb28261,Display,P16e295d,100
176,b12f095f-7730-40a6-8184-1b63de3f1bde,Display,Oc9709cf,23
177,559bb36b-c873-404c-951b-9bb27b39668c,Organic Search,P4c3f599,124
178,2d4efcf7-44da-425d-9218-d1ec604c3f11,Display,O2589268,174
179,94a291c9-5bbb-4957-8207-a56d29890500,Organic Search,O2731880,236
180,56b84bd0-e5d0-4339-9d6e-8da3cc9b722c,Direct,O32acb27,253
181,1d35db77-1a72-4eda-b1c4-5a6f30aa45f9,Direct,Ob25b82a,275
182,b523a655-6eb3-4d2c-8ed5-c2b354a13da6,Organic Search,O647cb49,204
183,d81e6455-85da-4af7-a4a4-bdb473ff5d78,Display,Oc28a774,83
184,2220adac-ef17-4daf-b4c5-e33b0e956ba8,Paid Search,Pf6ecac8,55
185,4e15680c-bea7-4ccc-b0b7-342a71fd9a8c,Display,O45933ef,134
186,21b10f9b-d419-4d12-be23-448cddf58be2,Display,Pc250a34,221
187,7b37ffd3-7490-4d53-87dd-e51fbaddc24e,Display,Pc6f1701,271
188,756b7665-988b-41e9-b702-65406014e7d4,Paid Search,O10656b5,156
189,ab4fba3f-bdb6-41ec-a16a-fa62f697abd8,Paid Search,O632ef2c,96
190,2a4eb849-b028-449f-b63e-76db9455e732,Paid Search,O8c06ce2,271
191,9f8a33d5-6913-41da-9482-c105e7c225d7,Organic Search,O16e1956,267
192,080bef48-4298-404c-91f4-194668e6555c,Paid Search,O0d069e3,206
193,7c12ee80-47d2-4e80-9d18-207bdc093b63,Paid Search,P72d6548,45
194,5286b868-e074-4f0a-acbd-e77345e52841,Referral,Oeb7bbd4,228
195,bc476585-7e0e-4355-a691-93522d2d1738,Organic Search,Pb563e35,252
196,9f0f8ba2-15f6-4020-935f-4493afb1eee1,Display,Pf4e21a7,439
197,9427eaf5-b6aa-40f8-8458-55e2468e8111,Direct,O545afb2,554
198,e85945e2-30b4-468f-94e8-b1990314ef8b,Paid Search,P62306d4,305
199,7d9d83c3-d057-4404-9c5c-05691fca4cb6,Referral,P1a0c94d,281
200,7c68b1f5-a0e5-4434-a726-6cbf1f0cb90f,Paid Search,Pcc17d8c,169
201,3ef0e5af-3843-4f78-abe4-e378e31d4120,Display,Pfa71e08,62
202,92f8db05-034f-48d2-982d-b09766af0c4d,Paid Search,P53f3324,311
203,fde74516-9f61-4bd1-9b7e-7ab93913f4eb,Direct,P3771f62,273
204,a96faf4d-2146-4f6c-a0a1-a3b66ef9a9cf,Direct,Oc2cf35b,44
205,3d08e486-1715-4c3e-89a3-89d2e19163f9,Paid Search,P3a0202d,169
206,8040a09a-5bb1-4a4c-bb31-9b45aa963a78,Paid Search,Of1c158e,86
207,e3bda21b-44b7-4cd0-af17-c801a6639ff3,Referral,Pdd8bda7,230
208,e8b34a2a-367b-4b48-a56e-4244870e91c5,Organic Search,O8bbbb88,165
209,00920b23-ae97-40da-bd5e-fdde0a427cc1,Direct,Oc6c5750,205
210,584a65c0-6de8-4939-b98b-e33d6fa9dd55,Organic Search,Pa3b5147,20
211,4796abe1-a831-4f98-bf8a-3ec7aa99d995,Paid Search,Od3ea498,160
212,966578d2-7e58-4301-b89f-b9b5ed4033da,Direct,O126ec6f,549
213,73a7951e-f937-41a4-9447-545c6e720296,Paid Search,Pb06d232,218
214,a2d3508d-1fcf-4cb4-bdb2-3a7647da56c2,Direct,Pd13a8fa,6
215,e0d88487-c5d7-480a-8101-ce32f1da3477,Paid Search,Ob6a20b0,71
216,4fa2da2a-c48c-40ee-a0d2-7cb35f38d412,Display,P747d7a8,264
217,d54933ab-86ed-4e80-adc9-55b12b21b8e5,Display,Oba9da35,24
218,7c52b28a-39aa-4cae-a6c7-aeaf18a3fd22,Paid Search,Pc398153,501
219,87d3d479-e873-4f8a-a1e8-87a638312519,Direct,O7ceb5f9,133
220,3c246ad4-e904-4473-a893-f01dafa240f5,Organic Search,Ofdb5559,525
221,df8720a4-5882-4dcf-a215-e7e552c401d9,Referral,O588ccc5,25
222,b8229774-0aa4-494d-9169-b4e82607f7be,Direct,Pc77b0be,238
223,3ccc3b99-ef0f-4a54-8273-15f5b298b4a4,Direct,P6a13476,118
224,1b4e0fdf-92ec-4b62-9d34-638df9fa7596,Display,P660f56e,20
225,92e90209-091c-4398-a15f-68de7da88cdc,Direct,Pacebf31,162
226,89987c6a-aa2c-4dc6-9055-e72a2e0d7001,Paid Search,O7fbc6ac,288
227,fcf9dcd8-1951-4a8c-99fa-f4025426ef4e,Referral,Od8e3ad6,420
228,139139f3-0cf7-4d84-b36d-2169d88fe45d,Organic Search,O366145f,182
229,eaa40c94-68a9-4a82-9c17-7e40eb20ba6d,Direct,O365ef18,245
230,8eaceb5d-504a-4197-86fb-ec05f5a29834,Referral,Oe3b98cd,187
231,51e9972e-8912-452c-8b59-d0cbd676c133,Organic Search,P864ad6d,207
232,c2ed5643-b28f-4a8b-a1ec-6a840922a7e2,Display,P975e5b4,250
233,0f247ce0-dc9c-436a-a591-b2930185511d,Organic Search,O327b512,264
234,7f50f1ed-2a27-4406-ba5b-513db42da956,Paid Search,O2d3f3e3,62
235,0d6cbaef-7079-41fe-8117-1b1d95424316,Display,Pe93c2a3,27
236,42c77a32-57bc-4945-b5b4-1b48bb94c8cc,Direct,Obf9706c,291
237,8003a411-7059-4cb2-8ec5-fd5f4242cf6b,Referral,P60721af,525
238,29af4b5f-a9be-4476-bb92-0611869b8690,Display,O539871a,183
239,82bbda3a-9cd9-404f-984e-f2250801828d,Referral,P0684179,79
240,e766e6c0-f6f5-49ef-a22b-991f69361ed5,Organic Search,Pfcb9cb2,78
241,d55d7d4c-fab5-48a1-b7d1-71703a4b68e4,Paid Search,O5f5784e,159
242,c8c930dc-f7bc-47ee-8b82-1bdb72802682,Organic Search,O821fd89,161
243,5d7481a5-d156-4393-926f-52e8802c8aa4,Direct,Pf0391fc,206
244,840e57b9-82bf-4e73-96eb-15b7463b692d,Organic Search,O04896c0,185
245,4091f65d-4287-462b-9031-73de35e559f3,Direct,Ocfaeff2,180
246,c8136f73-72a7-405a-ac37-04ec8ad70e55,Paid Search,O4427e34,39
247,56a1566b-2e04-446e-8def-317118d156d4,Referral,P85f4729,272
248,e281855e-4b01-4923-a637-1fac56ad45da,Display,O3bfa462,122
249,2d476420-1c00-498e-bcaf-dd5cc492b157,Paid Search,P57cfd42,209
250,4e5ed570-d8a6-494a-b8e6-49128ad65335,Organic Search,O169c67a,108
251,7a92da95-e539-4829-b6f0-70ec8b7b96f1,Display,O6227c10,505
252,cba32b52-5200-4bbe-8fef-d5bf43aebd70,Paid Search,O6cf1f7a,536
253,99be1af1-151b-4044-94c3-ef91bced2cd3,Organic Search,Of6772dd,39
254,8b827563-2a3c-4147-923f-8c260f7a22f8,Paid Search,O22dd504,11
255,c7b7bac9-f2eb-4d90-b715-caad0a3d6cb9,Direct,O884c243,158
256,8c5c67bc-e422-41d8-860c-2715b6568980,Display,Oee8bd33,513
257,eb8b6ffb-28c7-4279-b94d-2dc932c76e90,Paid Search,P28d3b17,282
258,5a589cb7-c789-41e9-940e-95e9c1768c5e,Direct,Oece6b27,111
259,f19c1fc0-ef9e-4ce3-b0ed-0494f6acfc97,Paid Search,O0b7484e,120
260,dfff210e-844b-4213-b653-b49a13e94d86,Organic Search,Oba3418d,156
261,3783b591-7bc8-4b93-9c58-bb4c739f89e6,Paid Search,Pdfa397e,584
262,15ce96b1-bb81-4ab1-9670-c120d56854bb,Paid Search,O45ee49b,96
263,08cc749a-b0ad-41c7-9a3b-87b56b26b883,Display,O18fa417,109
264,d32c2642-c2e3-40a9-b5f5-5b8916a9b3bd,Direct,O7062469,276
265,b5fb87f7-5341-4ffd-b9a8-f30570b2e08c,Referral,P4fd1e2f,109
266,4b861f8d-947f-4097-8429-57fab0d5535a,Referral,P7ca1b47,220
267,59106578-9ce4-448b-a651-9787422cb98d,Paid Search,Oc79c94c,224
268,f1fa211f-f968-4f4d-8f2a-01c34d5b81ca,Paid Search,P4c0d115,209
269,736b92b0-3aa1-46e1-9caa-836eafa9c181,Paid Search,Oee08539,543
270,5855bfbe-a2f3-4e7c-82b3-c49bba053240,Referral,O64be32f,174
271,e8512b98-1606-4b59-9b50-3fc06c62b540,Display,P3b918a1,60
272,17fc33ca-3792-45ea-a4c2-fc04496eedad,Direct,Oe8cf2f1,531
273,07369b10-674f-4de0-8932-3572f2d95f0f,Referral,O0bd526c,124
274,711e7484-1efb-42b1-94df-cc971f2ad2b9,Organic Search,Of13b670,53
275,8299d932-960c-422a-b9bc-8ca32461093f,Paid Search,Ofef0bf2,278
276,485c84f1-60af-462a-b555-e4c83ab46a3a,Organic Search,P7cdfb41,175
277,f3f98b98-d61c-4e6b-90f6-eed19615d56f,Referral,P9dba4f9,213
278,a04d9255-b427-4c26-8311-ec571d1db99d,Direct,P7eec5b0,252
279,8d429e49-882e-4e2d-b19d-1560b979a473,Direct,O4c02bbf,76
280,f2c374d6-f8ca-4106-b79d-34a553022f16,Display,O9862e03,346
281,3a3e2461-2a2b-4184-a12c-244b5066f02f,Referral,O929e082,251
282,e4c7c0fb-9653-44cb-9e45-483c714fa3b8,Display,Pf27b431,128
283,a5b41358-ca21-43ac-adb4-9149656a685d,Referral,P50d9a72,92
284,adc83d16-87ab-4c8b-8c86-12905bef77e0,Referral,O0db25d5,239
285,f3c45dd0-4ff4-4edd-a882-2d6f2b7eca38,Organic Search,O6ecfa08,91
286,3b4fbfff-0168-430e-b307-f4a31bf9bf39,Direct,Odf3e9a9,151
287,ca060b8b-2acf-4dc3-ba4b-2f1642cf2733,Referral,P0bbdc23,135
288,1030f00f-16e5-4fd9-b67c-def245517c4e,Organic Search,O50a7ea2,204
289,6a3a4514-1c63-4431-bbd7-1332bc84c284,Organic Search,O762d0df,215
290,9ec5fc22-e287-4639-b8aa-d994d3c9c16e,Display,Oba7b0dc,72
291,61cc0df9-053c-4c5e-a6ee-f27d4cd36ab6,Direct,O1a21f2e,211
292,f89f9536-d316-4073-9277-adaf69150f59,Paid Search,Pe97a952,183
293,8e6724c8-d692-4d8e-a5cc-8e081f148983,Paid Search,O06dd2bd,566
294,c0d0661e-3133-4781-8648-c5af7a696675,Direct,P7f7550a,58
295,4ede8ef8-6aa8-42e2-ba3d-5a2f47f70da8,Direct,Ob06cef8,344
296,44d2a882-012a-49d8-9800-f166060534a6,Organic Search,O9fc2b5d,47
297,9396ebe4-3276-4024-9abc-27adad5bf619,Organic Search,Odc208e9,192
298,029d510c-9b4d-4dce-bfbb-8d3edb75d32f,Paid Search,O0e6b8db,226
299,63856b3f-ffe2-4bc9-aa99-d3b7be555abd,Referral,O2d5e9fd,401
300,0b616a98-9ad0-4eb2-b3cc-265b66ac5d3e,Paid Search,P2d7d140,65
301,f5ecb4cd-eb03-4f6f-bf7c-e2d20fdc6b22,Direct,Od966592,214
302,6513f0dc-300b-4071-a5e5-73e9c360cf17,Paid Search,O2da821c,237
303,6fae8139-bd63-4b34-a572-43872bc00796,Paid Search,P994bb00,295
304,d77e8cd6-dcaf-4203-8993-490b11712e32,Direct,Pc4e4f27,352
305,16c64d59-76f6-452d-b0ab-29a0631b76dc,Direct,O0f1680c,137
306,26d76a33-704d-4305-a041-41a3920ab9d2,Paid Search,P9f8d7b1,182
307,5c066485-0804-4729-8c4b-9df68219e946,Organic Search,P0305567,259
308,35ad9bf9-b920-4ff0-93f0-5acc859f90ec,Paid Search,P8cf2093,290
309,792a2f43-e104-43d0-b190-7ded4bf22bf4,Paid Search,P79bb15d,37
310,0ecf4cd6-7a5f-4d7e-8932-45bf81d14374,Organic Search,Pf886aea,53
311,3e5f6141-8798-4487-bbe0-b7e7d6be21a0,Organic Search,P04b5a21,6
312,054b2808-f173-465e-a7fd-af1d4955201e,Direct,Pfcd5851,175
313,e0b08ae0-e7ca-4c15-afbd-e5536d84f248,Paid Search,O7ec87f9,197
314,49fb6528-4fb0-4da3-bb46-26bb4a461a45,Organic Search,P14101f9,120
315,a22e26de-5e37-4e4c-b63c-731bdd9f85e0,Paid Search,Pb5539ca,195
316,4414eda1-52e1-4b73-a988-00f4a3bf9de4,Display,O1954a16,139
317,89d3e772-9b66-4cf1-b9dc-4ed694ae2872,Organic Search,Oa994696,398
318,f7776c61-ea61-47bc-9d0d-a2b175005919,Display,Pd753a2d,210
319,d7d06d67-e802-4ba1-9390-2cb1ebd00496,Direct,P4aecc80,239
320,65b1c216-d746-40d3-87e5-640983560bff,Referral,P047ccf0,16
321,06399f10-a4ab-4f88-bdf4-08388510282c,Direct,Oe310b17,159
322,cd636455-cadc-4a02-94bb-82871d8850f8,Referral,Ob1aeba8,209
323,15927c9a-e184-4a23-8755-d9b2592ee02d,Direct,P68eb73f,115
