Index,Creative ID,Exposure ID,CompanyID,Company Name,Sector,Ad Format,Viewable,Was Clicked,Conversion,Spend on Exposure,Revenue Generated
21,C429d,O429db65,CO021,FiscalFrontiers,Pharmaceutical,Banner,0,0,0,0,0
22,C8ac2,O8ac2bd0,CO022,MedMakers,Pharmaceutical,Banner,0,0,0,0,0
23,C1010,O1010760,CO023,PharmaPioneers,Legal,Carousel,1,1,0,0,0
24,C5018,O5018269,CO024,CoverageCornerstone,Insurance,Video,0,0,0,0,0
25,C8ff8,P8ff8fa6,CO000,InsureCo,Retail,Banner,0,0,0,41.47913476,0
26,C061d,O061d793,CO001,CharityWorks,Consumer Goods,Video,1,1,1,0,72.96002748
27,Cf42e,Pf42e6b7,CO002,TasteBuds,Technology,Carousel,1,0,0,37.39684526,0
28,C50ff,O50ffd83,CO003,HealthPioneers,Legal,Video,1,1,0,0,0
29,Cd9b3,Od9b33cc,CO004,JusticePartners,Food & Beverage,Carousel,1,0,0,0,0
30,C77bd,O77bdf93,CO005,AutoInnovators,Manufacturing,Carousel,0,0,0,0,0
31,C446c,P446cf06,CO006,EverydayEssentials,Pharmaceutical,Video,1,1,0,31.13396254,0
32,C980f,P980f37d,CO007,TechTrendsetters,Finance,Video,1,1,0,35.85541008,0
33,C32c2,P32c22e6,CO008,RetailRevolution,Non-Profit,Banner,1,1,1,56.54348031,174.7859889
34,C0be8,O0be83e6,CO009,LawLeaders,Manufacturing,Banner,0,0,0,0,0
35,C4878,O4878354,CO010,GoodsGalaxy,Finance,Video,1,0,0,0,0
36,Cdb72,Odb72243,CO011,LegalEagles,Finance,Video,1,0,0,0,0
37,C8ff3,P8ff3003,CO012,DigitalFrontiers,Finance,Banner,0,0,0,17.44117305,0
38,Cbdd9,Obdd98ce,CO013,HopeNetwork,Retail,Video,0,0,0,0,0
39,C18f6,P18f6c30,CO014,PowerPioneers,Real Estate,Video,1,1,1,51.76768736,152.9035745
40,C1057,O1057238,CO015,MarketMavens,Energy,Carousel,1,1,0,0,0
41,Cc41c,Pc41c4f4,CO016,SecureFutures,Insurance,Carousel,1,0,0,39.65964492,0
42,Cdf2f,Pdf2ffed,CO017,ShopSphere,Technology,Banner,0,0,0,30.44044228,0
43,C6982,P69822be,CO018,DriveDynamics,Entertainment,Carousel,0,0,0,27.5702516,0
44,Ce63b,Pe63b38f,CO019,CulinaryCreators,Real Estate,Carousel,1,1,1,99.37197864,110.6750583
45,Cac4a,Oac4a5d6,CO020,FlavorFrontiers,Retail,Video,1,1,1,0,56.42243957
46,C9945,O9945bea,CO021,FiscalFrontiers,Pharmaceutical,Banner,1,0,0,0,0
47,C0261,O0261013,CO022,MedMakers,Pharmaceutical,Video,0,0,0,0,0
48,C6e31,P6e31044,CO023,PharmaPioneers,Legal,Banner,0,0,0,12.36500261,0
49,Ced64,Oed64596,CO024,CoverageCornerstone,Insurance,Banner,1,0,0,0,0
50,C9f13,O9f138be,CO000,InsureCo,Retail,Carousel,1,1,1,0,86.5808682
51,C8916,O8916ed3,CO001,CharityWorks,Consumer Goods,Carousel,1,0,0,0,0
52,C1bb1,P1bb1043,CO002,TasteBuds,Technology,Banner,1,1,1,53.98116376,154.1615056
53,C5106,O5106b30,CO003,HealthPioneers,Legal,Carousel,0,0,0,0,0
54,Ca18d,Oa18dfac,CO004,JusticePartners,Food & Beverage,Carousel,0,0,0,0,0
55,Cfe7c,Ofe7ca9f,CO005,AutoInnovators,Manufacturing,Banner,0,0,0,0,0
56,C45cd,O45cdb31,CO006,EverydayEssentials,Pharmaceutical,Carousel,0,0,0,0,0
57,C697f,O697fea4,CO007,TechTrendsetters,Finance,Video,0,0,0,0,0
58,C72ca,P72ca9b7,CO008,RetailRevolution,Non-Profit,Carousel,1,0,0,46.09933997,0
59,C029c,P029cf44,CO009,LawLeaders,Manufacturing,Video,0,0,0,19.27312043,0
60,C83ac,O83ac9a5,CO010,GoodsGalaxy,Finance,Carousel,0,0,0,0,0
61,C42ef,P42ef06a,CO011,LegalEagles,Finance,Banner,0,0,0,12.50003211,0
62,C8851,O8851a33,CO012,DigitalFrontiers,Finance,Banner,1,0,0,0,0
63,C32bf,P32bff44,CO013,HopeNetwork,Retail,Video,1,1,1,89.43504043,126.3303177
64,C1667,O1667512,CO014,PowerPioneers,Real Estate,Carousel,0,0,0,0,0
65,C08ab,O08ab9b2,CO015,MarketMavens,Energy,Banner,0,0,0,0,0
66,C2017,O20179e5,CO016,SecureFutures,Insurance,Video,0,0,0,0,0
67,Cda65,Oda65386,CO017,ShopSphere,Technology,Video,1,1,1,0,77.79871634
68,C1d23,P1d23512,CO018,DriveDynamics,Entertainment,Banner,1,1,0,41.48466102,0
69,C27ec,P27ecd29,CO019,CulinaryCreators,Real Estate,Carousel,1,1,1,92.42325591,165.1258177
70,C5f4b,P5f4b84b,CO020,FlavorFrontiers,Retail,Video,1,1,0,34.74675857,0
71,C4dc8,O4dc8132,CO021,FiscalFrontiers,Pharmaceutical,Carousel,0,0,0,0,0
72,C1d0b,P1d0b8a1,CO022,MedMakers,Pharmaceutical,Banner,1,0,0,18.17709521,0
73,Ca2c3,Oa2c34cd,CO023,PharmaPioneers,Legal,Carousel,0,0,0,0,0
74,Cbe54,Obe54081,CO024,CoverageCornerstone,Insurance,Banner,0,0,0,0,0
75,Ca81a,Oa81a085,CO000,InsureCo,Retail,Video,1,0,0,0,0
76,Cb19c,Pb19c7a9,CO001,CharityWorks,Consumer Goods,Video,0,0,0,33.48213779,0
77,Cced1,Oced1801,CO002,TasteBuds,Technology,Carousel,0,0,0,0,0
78,C730a,P730ade4,CO003,HealthPioneers,Legal,Video,0,0,0,14.90689825,0
79,Cef35,Pef35808,CO004,JusticePartners,Food & Beverage,Video,1,0,0,25.4439608,0
80,C58d8,O58d806d,CO005,AutoInnovators,Manufacturing,Video,0,0,0,0,0
81,Cd2a9,Pd2a9cda,CO006,EverydayEssentials,Pharmaceutical,Video,1,1,1,72.41980318,109.7453596
82,Cfabe,Pfabecf2,CO007,TechTrendsetters,Finance,Banner,1,0,0,25.95836976,0
83,Ced5a,Oed5a501,CO008,RetailRevolution,Non-Profit,Carousel,0,0,0,0,0
84,Cc08f,Pc08feaa,CO009,LawLeaders,Manufacturing,Video,1,1,1,85.46394612,131.8049728
85,C8b6d,O8b6df46,CO010,GoodsGalaxy,Finance,Banner,1,1,1,0,80.07328099
86,C7a36,O7a369b4,CO011,LegalEagles,Finance,Carousel,1,1,0,0,0
87,Cf1d6,Pf1d681c,CO012,DigitalFrontiers,Finance,Carousel,0,0,0,31.41400211,0
88,Cdddb,Odddb038,CO013,HopeNetwork,Retail,Carousel,1,0,0,0,0
89,C3fd9,O3fd97c4,CO014,PowerPioneers,Real Estate,Video,0,0,0,0,0
90,Ca360,Oa360e40,CO015,MarketMavens,Energy,Carousel,1,1,0,0,0
91,C5e0f,P5e0f86e,CO016,SecureFutures,Insurance,Carousel,0,0,0,17.80468625,0
92,C6e95,P6e9529e,CO017,ShopSphere,Technology,Banner,0,0,0,20.78911829,0
93,C44af,O44afb41,CO018,DriveDynamics,Entertainment,Carousel,1,1,0,0,0
94,C9eac,P9eac10b,CO019,CulinaryCreators,Real Estate,Banner,0,0,0,46.17277993,0
95,C98db,O98db087,CO020,FlavorFrontiers,Retail,Video,1,1,1,0,57.86258799
96,C4d87,O4d87a3b,CO021,FiscalFrontiers,Pharmaceutical,Video,0,0,0,0,0
97,C6045,O6045e0c,CO022,MedMakers,Pharmaceutical,Carousel,0,0,0,0,0
98,C6c2d,O6c2dea5,CO023,PharmaPioneers,Legal,Video,1,1,1,0,58.77730812
99,C122a,P122a12a,CO024,CoverageCornerstone,Insurance,Carousel,1,0,0,45.43888895,0
100,C45a9,O45a984c,CO000,InsureCo,Retail,Banner,1,1,0,0,0
101,C154a,P154addd,CO001,CharityWorks,Consumer Goods,Carousel,1,0,0,18.09235517,0
102,C61f2,P61f214d,CO002,TasteBuds,Technology,Carousel,1,0,0,24.93906206,0
103,C860c,P860ccf4,CO003,HealthPioneers,Legal,Banner,1,1,1,73.66920219,129.4039566
104,C003f,P003f785,CO004,JusticePartners,Food & Beverage,Video,0,0,0,37.08768692,0
105,C7cf4,O7cf4c8c,CO005,AutoInnovators,Manufacturing,Banner,0,0,0,0,0
106,Cf2ed,Of2ed90e,CO006,EverydayEssentials,Pharmaceutical,Carousel,1,0,0,0,0
107,C91ad,P91adf43,CO007,TechTrendsetters,Finance,Carousel,0,0,0,39.41229234,0
108,Ce0ae,Oe0ae45d,CO008,RetailRevolution,Non-Profit,Carousel,1,1,1,0,76.36748955
109,Cb1e3,Ob1e33e3,CO009,LawLeaders,Manufacturing,Video,0,0,0,0,0
110,Cfb92,Ofb92d9d,CO010,GoodsGalaxy,Finance,Banner,0,0,0,0,0
111,Cde66,Ode66b3b,CO011,LegalEagles,Finance,Banner,0,0,0,0,0
112,C53e7,O53e786c,CO012,DigitalFrontiers,Finance,Video,1,0,0,0,0
113,C5763,O576396f,CO013,HopeNetwork,Retail,Banner,0,0,0,0,0
114,C7c4d,O7c4d886,CO014,PowerPioneers,Real Estate,Banner,0,0,0,0,0
115,C33c5,O33c5388,CO015,MarketMavens,Energy,Carousel,1,1,1,0,54.38882779
116,C6c6a,O6c6a1f2,CO016,SecureFutures,Insurance,Carousel,1,0,0,0,0
117,C9344,O93442bc,CO017,ShopSphere,Technology,Carousel,1,0,0,0,0
118,Cc50d,Oc50d974,CO018,DriveDynamics,Entertainment,Carousel,1,1,1,0,68.48979787
119,C082a,P082af92,CO019,CulinaryCreators,Real Estate,Banner,0,0,0,45.25690092,0
120,C170c,O170cb40,CO020,FlavorFrontiers,Retail,Video,1,1,0,0,0
121,Cd5ae,Pd5aec3d,CO021,FiscalFrontiers,Pharmaceutical,Carousel,1,1,1,97.62873885,182.873652
122,C4e25,P4e25b3c,CO022,MedMakers,Pharmaceutical,Carousel,1,1,0,26.70245024,0
123,C382b,O382bbaa,CO023,PharmaPioneers,Legal,Carousel,0,0,0,0,0
124,C5df0,O5df0e48,CO024,CoverageCornerstone,Insurance,Carousel,1,0,0,0,0
125,Cb2b0,Ob2b05bc,CO000,InsureCo,Retail,Banner,1,1,0,0,0
126,Cc1b4,Pc1b4120,CO001,CharityWorks,Consumer Goods,Video,0,0,0,27.53126012,0
127,C6606,O6606d98,CO002,TasteBuds,Technology,Video,0,0,0,0,0
128,Cef26,Pef26642,CO003,HealthPioneers,Legal,Video,0,0,0,39.99844674,0
129,C37c7,P37c7cf9,CO004,JusticePartners,Food & Beverage,Banner,1,0,0,43.92530095,0
130,C248f,O248f408,CO005,AutoInnovators,Manufacturing,Video,1,0,0,0,0
131,C8971,O897184a,CO006,EverydayEssentials,Pharmaceutical,Carousel,0,0,0,0,0
132,C4574,P45741f5,CO007,TechTrendsetters,Finance,Video,1,1,1,90.50218695,160.3639205
133,C2e75,O2e75bd7,CO008,RetailRevolution,Non-Profit,Carousel,0,0,0,0,0
134,C11ba,O11bad0d,CO009,LawLeaders,Manufacturing,Carousel,0,0,0,0,0
135,Cfe74,Ofe74d42,CO010,GoodsGalaxy,Finance,Banner,1,0,0,0,0
136,Cf519,Of51925f,CO011,LegalEagles,Finance,Carousel,0,0,0,0,0
137,C6b94,P6b944d8,CO012,DigitalFrontiers,Finance,Video,1,0,0,30.04943157,0
138,C6947,P6947a74,CO013,HopeNetwork,Retail,Banner,0,0,0,32.11711652,0
139,C4c5f,O4c5f99e,CO014,PowerPioneers,Real Estate,Video,0,0,0,0,0
140,C50f3,P50f36ce,CO015,MarketMavens,Energy,Video,1,0,0,31.02069475,0
141,Cfdb7,Ofdb77fe,CO016,SecureFutures,Insurance,Carousel,1,1,1,0,57.50569048
142,C60e2,P60e226b,CO017,ShopSphere,Technology,Video,1,0,0,14.38125279,0
143,Cc305,Pc305383,CO018,DriveDynamics,Entertainment,Video,1,1,0,22.20575989,0
144,Cf74a,Pf74ac15,CO019,CulinaryCreators,Real Estate,Carousel,1,1,1,93.84625196,192.2221091
145,C606f,P606f2c5,CO020,FlavorFrontiers,Retail,Video,0,0,0,40.86598587,0
146,C474d,O474d60d,CO021,FiscalFrontiers,Pharmaceutical,Banner,0,0,0,0,0
147,C0635,O063512f,CO022,MedMakers,Pharmaceutical,Carousel,1,0,0,0,0
148,Caee9,Oaee9fc5,CO023,PharmaPioneers,Legal,Video,1,1,0,0,0
149,Ca211,Oa211c58,CO024,CoverageCornerstone,Insurance,Banner,1,1,0,0,0
150,Ccc95,Occ95745,CO000,InsureCo,Retail,Video,1,1,0,0,0
151,Cba9c,Oba9c1ed,CO001,CharityWorks,Consumer Goods,Carousel,0,0,0,0,0
152,Cc2ba,Pc2ba8fc,CO002,TasteBuds,Technology,Banner,0,0,0,47.72836306,0
153,Ce792,Pe792bca,CO003,HealthPioneers,Legal,Banner,1,1,1,52.96588687,101.1830071
154,Cb3d0,Ob3d0f6e,CO004,JusticePartners,Food & Beverage,Banner,0,0,0,0,0
155,Ca587,Pa587531,CO005,AutoInnovators,Manufacturing,Video,0,0,0,30.20402981,0
156,Cd032,Pd03282d,CO006,EverydayEssentials,Pharmaceutical,Carousel,1,1,1,56.30434897,129.479321
157,C20bb,P20bbb1d,CO007,TechTrendsetters,Finance,Video,0,0,0,25.45623743,0
158,C2abc,P2abcccc,CO008,RetailRevolution,Non-Profit,Video,1,0,0,19.53525671,0
159,C5ed6,O5ed6685,CO009,LawLeaders,Manufacturing,Carousel,0,0,0,0,0
160,C38da,O38da703,CO010,GoodsGalaxy,Finance,Carousel,0,0,0,0,0
161,C8cab,P8cabdbd,CO011,LegalEagles,Finance,Carousel,1,1,1,57.80949717,137.4035191
162,Cdbd3,Odbd34bf,CO012,DigitalFrontiers,Finance,Carousel,0,0,0,0,0
163,C4604,P460424e,CO013,HopeNetwork,Retail,Banner,1,1,1,63.0837336,137.4642211
164,C0faf,P0fafcf2,CO014,PowerPioneers,Real Estate,Video,0,0,0,30.77185643,0
165,C3c4d,O3c4dfb6,CO015,MarketMavens,Energy,Carousel,1,1,1,0,58.08599803
166,C2afe,O2afecb5,CO016,SecureFutures,Insurance,Banner,1,1,1,0,58.12555797
167,Ca957,Oa957b35,CO017,ShopSphere,Technology,Video,0,0,0,0,0
168,C8b2a,O8b2a0aa,CO018,DriveDynamics,Entertainment,Video,0,0,0,0,0
169,Cde66,Ode660e4,CO019,CulinaryCreators,Real Estate,Banner,0,0,0,0,0
170,Cf22f,Of22fd5e,CO020,FlavorFrontiers,Retail,Video,1,1,0,0,0
171,C1d69,O1d696ad,CO021,FiscalFrontiers,Pharmaceutical,Carousel,1,0,0,0,0
172,Cfaf2,Pfaf2e23,CO022,MedMakers,Pharmaceutical,Carousel,1,0,0,46.41810842,0
173,Cb598,Pb598e8d,CO023,PharmaPioneers,Legal,Banner,1,0,0,31.94443397,0
174,Ca7cb,Pa7cb9a0,CO024,CoverageCornerstone,Insurance,Banner,0,0,0,12.40837263,0
175,C16e2,P16e295d,CO000,InsureCo,Retail,Banner,1,0,0,18.56465766,0
176,Cc970,Oc9709cf,CO001,CharityWorks,Consumer Goods,Carousel,1,0,0,0,0
177,C4c3f,P4c3f599,CO002,TasteBuds,Technology,Carousel,0,0,0,10.41510489,0
178,C2589,O2589268,CO003,HealthPioneers,Legal,Banner,1,0,0,0,0
179,C2731,O2731880,CO004,JusticePartners,Food & Beverage,Carousel,1,0,0,0,0
180,C32ac,O32acb27,CO005,AutoInnovators,Manufacturing,Carousel,0,0,0,0,0
181,Cb25b,Ob25b82a,CO006,EverydayEssentials,Pharmaceutical,Carousel,0,0,0,0,0
182,C647c,O647cb49,CO007,TechTrendsetters,Finance,Video,0,0,0,0,0
183,Cc28a,Oc28a774,CO008,RetailRevolution,Non-Profit,Banner,1,0,0,0,0
184,Cf6ec,Pf6ecac8,CO009,LawLeaders,Manufacturing,Carousel,1,0,0,46.90961947,0
185,C4593,O45933ef,CO010,GoodsGalaxy,Finance,Carousel,0,0,0,0,0
186,Cc250,Pc250a34,CO011,LegalEagles,Finance,Banner,0,0,0,31.23516707,0
187,Cc6f1,Pc6f1701,CO012,DigitalFrontiers,Finance,Banner,0,0,0,28.59051588,0
188,C1065,O10656b5,CO013,HopeNetwork,Retail,Banner,0,0,0,0,0
189,C632e,O632ef2c,CO014,PowerPioneers,Real Estate,Banner,0,0,0,0,0
190,C8c06,O8c06ce2,CO015,MarketMavens,Energy,Video,1,1,0,0,0
191,C16e1,O16e1956,CO016,SecureFutures,Insurance,Video,1,1,0,0,0
192,C0d06,O0d069e3,CO017,ShopSphere,Technology,Banner,1,0,0,0,0
193,C72d6,P72d6548,CO018,DriveDynamics,Entertainment,Carousel,1,1,0,20.6882364,0
194,Ceb7b,Oeb7bbd4,CO019,CulinaryCreators,Real Estate,Video,0,0,0,0,0
195,Cb563,Pb563e35,CO020,FlavorFrontiers,Retail,Banner,1,0,0,26.8980065,0
196,Cf4e2,Pf4e21a7,CO021,FiscalFrontiers,Pharmaceutical,Video,1,1,1,91.51291467,183.9394836
197,C545a,O545afb2,CO022,MedMakers,Pharmaceutical,Video,1,1,1,0,76.67348917
198,C6230,P62306d4,CO023,PharmaPioneers,Legal,Carousel,1,1,1,95.5598352,197.7114199
199,C1a0c,P1a0c94d,CO024,CoverageCornerstone,Insurance,Video,0,0,0,33.48524321,0
200,Ccc17,Pcc17d8c,CO000,InsureCo,Retail,Carousel,1,0,0,17.15539439,0
201,Cfa71,Pfa71e08,CO001,CharityWorks,Consumer Goods,Carousel,0,0,0,14.80657805,0
202,C53f3,P53f3324,CO002,TasteBuds,Technology,Banner,1,1,1,73.06652765,102.4560286
203,C3771,P3771f62,CO003,HealthPioneers,Legal,Banner,0,0,0,31.01240782,0
204,Cc2cf,Oc2cf35b,CO004,JusticePartners,Food & Beverage,Carousel,1,1,0,0,0
205,C3a02,P3a0202d,CO005,AutoInnovators,Manufacturing,Video,1,0,0,11.15504828,0
206,Cf1c1,Of1c158e,CO006,EverydayEssentials,Pharmaceutical,Video,1,0,0,0,0
207,Cdd8b,Pdd8bda7,CO007,TechTrendsetters,Finance,Carousel,1,1,0,16.87687498,0
208,C8bbb,O8bbbb88,CO008,RetailRevolution,Non-Profit,Banner,1,1,0,0,0
209,Cc6c5,Oc6c5750,CO009,LawLeaders,Manufacturing,Banner,1,0,0,0,0
210,Ca3b5,Pa3b5147,CO010,GoodsGalaxy,Finance,Video,0,0,0,47.34139097,0
211,Cd3ea,Od3ea498,CO011,LegalEagles,Finance,Video,1,1,0,0,0
212,C126e,O126ec6f,CO012,DigitalFrontiers,Finance,Video,1,1,1,0,75.19015556
213,Cb06d,Pb06d232,CO013,HopeNetwork,Retail,Carousel,1,0,0,14.29236682,0
214,Cd13a,Pd13a8fa,CO014,PowerPioneers,Real Estate,Carousel,1,1,0,13.5199152,0
215,Cb6a2,Ob6a20b0,CO015,MarketMavens,Energy,Video,1,0,0,0,0
216,C747d,P747d7a8,CO016,SecureFutures,Insurance,Video,1,1,0,30.94938768,0
217,Cba9d,Oba9da35,CO017,ShopSphere,Technology,Video,0,0,0,0,0
218,Cc398,Pc398153,CO018,DriveDynamics,Entertainment,Banner,1,1,1,71.55792265,141.9147781
219,C7ceb,O7ceb5f9,CO019,CulinaryCreators,Real Estate,Video,1,0,0,0,0
220,Cfdb5,Ofdb5559,CO020,FlavorFrontiers,Retail,Banner,1,1,1,0,67.10048233
221,C588c,O588ccc5,CO021,FiscalFrontiers,Pharmaceutical,Carousel,0,0,0,0,0
222,Cc77b,Pc77b0be,CO022,MedMakers,Pharmaceutical,Banner,1,0,0,32.98838566,0
223,C6a13,P6a13476,CO023,PharmaPioneers,Legal,Video,1,0,0,12.04003873,0
224,C660f,P660f56e,CO024,CoverageCornerstone,Insurance,Video,1,0,0,45.10915426,0
225,Caceb,Pacebf31,CO000,InsureCo,Retail,Video,0,0,0,32.72179226,0
226,C7fbc,O7fbc6ac,CO001,CharityWorks,Consumer Goods,Banner,1,0,0,0,0
227,Cd8e3,Od8e3ad6,CO002,TasteBuds,Technology,Banner,1,1,1,0,67.45744263
228,C3661,O366145f,CO003,HealthPioneers,Legal,Carousel,0,0,0,0,0
229,C365e,O365ef18,CO004,JusticePartners,Food & Beverage,Video,1,0,0,0,0
230,Ce3b9,Oe3b98cd,CO005,AutoInnovators,Manufacturing,Video,1,0,0,0,0
231,C864a,P864ad6d,CO006,EverydayEssentials,Pharmaceutical,Carousel,0,0,0,10.08443458,0
232,C975e,P975e5b4,CO007,TechTrendsetters,Finance,Carousel,1,1,0,24.15050744,0
233,C327b,O327b512,CO008,RetailRevolution,Non-Profit,Video,1,0,0,0,0
234,C2d3f,O2d3f3e3,CO009,LawLeaders,Manufacturing,Banner,1,0,0,0,0
235,Ce93c,Pe93c2a3,CO010,GoodsGalaxy,Finance,Video,1,0,0,35.01384256,0
236,Cbf97,Obf9706c,CO011,LegalEagles,Finance,Video,0,0,0,0,0
237,C6072,P60721af,CO012,DigitalFrontiers,Finance,Carousel,1,1,1,51.16960899,148.3427022
238,C5398,O539871a,CO013,HopeNetwork,Retail,Video,1,0,0,0,0
239,C0684,P0684179,CO014,PowerPioneers,Real Estate,Banner,1,1,0,48.66109442,0
240,Cfcb9,Pfcb9cb2,CO015,MarketMavens,Energy,Carousel,0,0,0,40.47941179,0
241,C5f57,O5f5784e,CO016,SecureFutures,Insurance,Carousel,0,0,0,0,0
242,C821f,O821fd89,CO017,ShopSphere,Technology,Video,1,1,0,0,0
243,Cf039,Pf0391fc,CO018,DriveDynamics,Entertainment,Video,0,0,0,17.56633182,0
244,C0489,O04896c0,CO019,CulinaryCreators,Real Estate,Banner,1,0,0,0,0
245,Ccfae,Ocfaeff2,CO020,FlavorFrontiers,Retail,Video,0,0,0,0,0
246,C4427,O4427e34,CO021,FiscalFrontiers,Pharmaceutical,Banner,1,1,0,0,0
247,C85f4,P85f4729,CO022,MedMakers,Pharmaceutical,Video,0,0,0,40.2750133,0
248,C3bfa,O3bfa462,CO023,PharmaPioneers,Legal,Video,1,1,0,0,0
249,C57cf,P57cfd42,CO024,CoverageCornerstone,Insurance,Video,0,0,0,39.2110568,0
250,C169c,O169c67a,CO000,InsureCo,Retail,Video,1,0,0,0,0
251,C6227,O6227c10,CO001,CharityWorks,Consumer Goods,Carousel,1,1,1,0,82.19178329
252,C6cf1,O6cf1f7a,CO002,TasteBuds,Technology,Video,1,1,1,0,87.67503992
253,Cf677,Of6772dd,CO003,HealthPioneers,Legal,Carousel,0,0,0,0,0
254,C22dd,O22dd504,CO004,JusticePartners,Food & Beverage,Video,1,0,0,0,0
255,C884c,O884c243,CO005,AutoInnovators,Manufacturing,Banner,1,0,0,0,0
256,Cee8b,Oee8bd33,CO006,EverydayEssentials,Pharmaceutical,Carousel,1,1,1,0,76.7771478
257,C28d3,P28d3b17,CO007,TechTrendsetters,Finance,Video,0,0,0,32.74503042,0
258,Cece6,Oece6b27,CO008,RetailRevolution,Non-Profit,Carousel,1,0,0,0,0
259,C0b74,O0b7484e,CO009,LawLeaders,Manufacturing,Banner,0,0,0,0,0
260,Cba34,Oba3418d,CO010,GoodsGalaxy,Finance,Video,1,1,0,0,0
261,Cdfa3,Pdfa397e,CO011,LegalEagles,Finance,Carousel,1,1,1,54.83946365,139.5336656
262,C45ee,O45ee49b,CO012,DigitalFrontiers,Finance,Banner,0,0,0,0,0
263,C18fa,O18fa417,CO013,HopeNetwork,Retail,Video,0,0,0,0,0
264,C7062,O7062469,CO014,PowerPioneers,Real Estate,Video,0,0,0,0,0
265,C4fd1,P4fd1e2f,CO015,MarketMavens,Energy,Banner,0,0,0,27.28379624,0
266,C7ca1,P7ca1b47,CO016,SecureFutures,Insurance,Banner,0,0,0,27.01068839,0
267,Cc79c,Oc79c94c,CO017,ShopSphere,Technology,Video,0,0,0,0,0
268,C4c0d,P4c0d115,CO018,DriveDynamics,Entertainment,Banner,1,1,0,26.9438186,0
269,Cee08,Oee08539,CO019,CulinaryCreators,Real Estate,Carousel,1,1,1,0,55.74314895
270,C64be,O64be32f,CO020,FlavorFrontiers,Retail,Banner,0,0,0,0,0
271,C3b91,P3b918a1,CO021,FiscalFrontiers,Pharmaceutical,Carousel,0,0,0,47.51680644,0
272,Ce8cf,Oe8cf2f1,CO022,MedMakers,Pharmaceutical,Banner,1,1,1,0,75.63433109
273,C0bd5,O0bd526c,CO023,PharmaPioneers,Legal,Banner,0,0,0,0,0
274,Cf13b,Of13b670,CO024,CoverageCornerstone,Insurance,Video,0,0,0,0,0
275,Cfef0,Ofef0bf2,CO000,InsureCo,Retail,Video,1,0,0,0,0
276,C7cdf,P7cdfb41,CO001,CharityWorks,Consumer Goods,Banner,0,0,0,27.03061288,0
277,C9dba,P9dba4f9,CO002,TasteBuds,Technology,Video,0,0,0,47.70697101,0
278,C7eec,P7eec5b0,CO003,HealthPioneers,Legal,Carousel,1,0,0,18.47796545,0
279,C4c02,O4c02bbf,CO004,JusticePartners,Food & Beverage,Carousel,0,0,0,0,0
280,C9862,O9862e03,CO005,AutoInnovators,Manufacturing,Banner,1,1,1,0,88.23325096
281,C929e,O929e082,CO006,EverydayEssentials,Pharmaceutical,Banner,0,0,0,0,0
282,Cf27b,Pf27b431,CO007,TechTrendsetters,Finance,Video,1,0,0,21.04651822,0
283,C50d9,P50d9a72,CO008,RetailRevolution,Non-Profit,Banner,1,0,0,33.03483407,0
284,C0db2,O0db25d5,CO009,LawLeaders,Manufacturing,Banner,0,0,0,0,0
285,C6ecf,O6ecfa08,CO010,GoodsGalaxy,Finance,Video,1,0,0,0,0
286,Cdf3e,Odf3e9a9,CO011,LegalEagles,Finance,Video,0,0,0,0,0
